complaint,department,sentiment,urgency,cleaned
Water supply cut off for 3 days this has been ignored for weeks,Water Supply,Negative,High,water supply cut day ignored week
Tempo drivers harassing passengers extra money urgent action needed,Transport,Negative,Critical,tempo driver harassing passenger extra money urgent action needed
Large pothole on main road causing accidents authorities not responding,Roads,Negative,High,large pothole main road causing accident authority responding
Sewage overflow outside house very unhygienic residents suffering daily,Sanitation,Negative,High,sewage overflow outside house unhygienic resident suffering daily
Contaminated water supply causing illness residents suffering daily,Water Supply,Negative,High,contaminated water supply causing illness resident suffering daily
Mosquito breeding stagnant water disease risk authorities not responding,Sanitation,Negative,High,mosquito breeding stagnant water disease risk authority responding
Garbage not collected for 2 weeks foul smell urgent action needed,Sanitation,Negative,Critical,garbage collected week foul smell urgent action needed
No bus service to our area after 8pm,Transport,Negative,Low,bus service area pm
High tension wire fallen on road dangerous this has been ignored for weeks,Electricity,Negative,High,high tension wire fallen road dangerous ignored week
Electricity bill extremely high this month wrong urgent action needed,Electricity,Negative,Critical,electricity bill extremely high month wrong urgent action needed
Water meter reading wrong for 6 months,Water Supply,Negative,High,water meter reading wrong month
No bus service to our area after 8pm urgent action needed,Transport,Negative,Critical,bus service area pm urgent action needed
Bus never arrives on time daily problem please fix this soon,Transport,Negative,Medium,bus never arrives time daily problem please fix soon
Speeding bus nearly hit pedestrians near school,Transport,Negative,Low,speeding bus nearly hit pedestrian near school
Transformer burned whole street no power urgent action needed,Electricity,Negative,Critical,transformer burned whole street power urgent action needed
No public transport near hospital emergency residents suffering daily,Transport,Negative,Low,public transport near hospital emergency resident suffering daily
Electric pole leaning dangerously on road residents suffering daily,Electricity,Negative,High,electric pole leaning dangerously road resident suffering daily
Driver using phone while driving dangerous authorities not responding,Transport,Negative,High,driver using phone driving dangerous authority responding
Divider broken near school dangerous children authorities not responding,Roads,Negative,High,divider broken near school dangerous child authority responding
Manholes open without covers dangerous at night residents suffering daily,Sanitation,Negative,High,manhole open without cover dangerous night resident suffering daily
Overhead tank not filled regularly low pressure urgent action needed,Water Supply,Negative,Critical,overhead tank filled regularly low pressure urgent action needed
No water since morning please help urgently,Water Supply,Negative,High,water since morning please help urgently
No public transport near hospital emergency this has been ignored for weeks,Transport,Negative,High,public transport near hospital emergency ignored week
Water tanker not coming for 5 days please fix this soon,Water Supply,Negative,Medium,water tanker coming day please fix soon
Mosquito breeding stagnant water disease risk this has been ignored for weeks,Sanitation,Negative,High,mosquito breeding stagnant water disease risk ignored week
No power supply since 2 days in area this has been ignored for weeks,Electricity,Negative,High,power supply since day area ignored week
Bridge near market has cracks urgent repair urgent action needed,Roads,Negative,Critical,bridge near market crack urgent repair urgent action needed
Traffic signals not working at busy junction authorities not responding,Roads,Negative,High,traffic signal working busy junction authority responding
High tension wire fallen on road dangerous authorities not responding,Electricity,Negative,High,high tension wire fallen road dangerous authority responding
Tempo drivers harassing passengers extra money please fix this soon,Transport,Negative,Medium,tempo driver harassing passenger extra money please fix soon
Sewage overflow outside house very unhygienic authorities not responding,Sanitation,Negative,High,sewage overflow outside house unhygienic authority responding
Mosquito breeding stagnant water disease risk residents suffering daily,Sanitation,Negative,High,mosquito breeding stagnant water disease risk resident suffering daily
Bus never arrives on time daily problem authorities not responding,Transport,Negative,High,bus never arrives time daily problem authority responding
Leaking water pipe on main road flooding residents suffering daily,Water Supply,Negative,High,leaking water pipe main road flooding resident suffering daily
No bus service to our area after 8pm residents suffering daily,Transport,Negative,Low,bus service area pm resident suffering daily
Mosquito breeding stagnant water disease risk,Sanitation,Negative,High,mosquito breeding stagnant water disease risk
Dead animals near garbage dump not cleared urgent action needed,Sanitation,Negative,Critical,dead animal near garbage dump cleared urgent action needed
Public toilet near market extremely dirty unusable please fix this soon,Sanitation,Negative,Medium,public toilet near market extremely dirty unusable please fix soon
Dangerous pothole near hospital entrance repair,Roads,Negative,Medium,dangerous pothole near hospital entrance repair
No electricity since yesterday evening urgent this has been ignored for weeks,Electricity,Negative,High,electricity since yesterday evening urgent ignored week
Manholes open without covers dangerous at night authorities not responding,Sanitation,Negative,High,manhole open without cover dangerous night authority responding
Leaking water pipe on main road flooding,Water Supply,Negative,High,leaking water pipe main road flooding
Road completely broken vehicles getting damaged this has been ignored for weeks,Roads,Negative,High,road completely broken vehicle getting damaged ignored week
Bus overcrowded unsafe for passengers daily,Transport,Negative,Low,bus overcrowded unsafe passenger daily
Bus overcrowded unsafe for passengers daily urgent action needed,Transport,Negative,Critical,bus overcrowded unsafe passenger daily urgent action needed
Drain overflow flooding our street after rain this has been ignored for weeks,Sanitation,Negative,High,drain overflow flooding street rain ignored week
No water since morning please help urgently authorities not responding,Water Supply,Negative,High,water since morning please help urgently authority responding
Dangerous pothole near hospital entrance repair please fix this soon,Roads,Negative,Medium,dangerous pothole near hospital entrance repair please fix soon
Electric pole leaning dangerously on road authorities not responding,Electricity,Negative,High,electric pole leaning dangerously road authority responding
Bus overcrowded unsafe for passengers daily this has been ignored for weeks,Transport,Negative,High,bus overcrowded unsafe passenger daily ignored week
Divider broken near school dangerous children,Roads,Negative,Medium,divider broken near school dangerous child
No public transport near hospital emergency please fix this soon,Transport,Negative,Medium,public transport near hospital emergency please fix soon
Traffic signals not working at busy junction urgent action needed,Roads,Negative,Critical,traffic signal working busy junction urgent action needed
Divider broken near school dangerous children urgent action needed,Roads,Negative,Critical,divider broken near school dangerous child urgent action needed
Drain overflow flooding our street after rain,Sanitation,Negative,High,drain overflow flooding street rain
Road dug for pipeline not restored for months residents suffering daily,Roads,Negative,Medium,road dug pipeline restored month resident suffering daily
Garbage dump fire spreading smoke in area,Sanitation,Negative,High,garbage dump fire spreading smoke area
Contaminated water supply causing illness urgent action needed,Water Supply,Negative,Critical,contaminated water supply causing illness urgent action needed
Bus stop has no shelter no bench,Transport,Negative,Low,bus stop shelter bench
Buses not following schedule during peak hours this has been ignored for weeks,Transport,Negative,High,bus following schedule peak hour ignored week
Power cuts every evening 4 to 5 hours,Electricity,Negative,High,power cut every evening hour
Road waterlogging every monsoon season problem authorities not responding,Roads,Negative,High,road waterlogging every monsoon season problem authority responding
No public transport near hospital emergency authorities not responding,Transport,Negative,High,public transport near hospital emergency authority responding
Manholes open without covers dangerous at night this has been ignored for weeks,Sanitation,Negative,High,manhole open without cover dangerous night ignored week
Wires hanging low near playground dangerous urgent action needed,Electricity,Negative,Critical,wire hanging low near playground dangerous urgent action needed
Water meter reading wrong for 6 months authorities not responding,Water Supply,Negative,High,water meter reading wrong month authority responding
Bridge near market has cracks urgent repair,Roads,Negative,Medium,bridge near market crack urgent repair
Sparking from transformer near house fire risk urgent action needed,Electricity,Negative,Critical,sparking transformer near house fire risk urgent action needed
Bus never arrives on time daily problem urgent action needed,Transport,Negative,Critical,bus never arrives time daily problem urgent action needed
Wires hanging low near playground dangerous residents suffering daily,Electricity,Negative,High,wire hanging low near playground dangerous resident suffering daily
Divider broken near school dangerous children this has been ignored for weeks,Roads,Negative,High,divider broken near school dangerous child ignored week
Electric pole leaning dangerously on road,Electricity,Negative,High,electric pole leaning dangerously road
Garbage dump fire spreading smoke in area this has been ignored for weeks,Sanitation,Negative,High,garbage dump fire spreading smoke area ignored week
Garbage dump fire spreading smoke in area please fix this soon,Sanitation,Negative,Medium,garbage dump fire spreading smoke area please fix soon
Open drainage near school health hazard children authorities not responding,Sanitation,Negative,High,open drainage near school health hazard child authority responding
Transformer burned whole street no power this has been ignored for weeks,Electricity,Negative,High,transformer burned whole street power ignored week
Road dug for pipeline not restored for months please fix this soon,Roads,Negative,Medium,road dug pipeline restored month please fix soon
Contaminated water supply causing illness authorities not responding,Water Supply,Negative,High,contaminated water supply causing illness authority responding
Tap water brown and smells bad undrinkable authorities not responding,Water Supply,Negative,High,tap water brown smell bad undrinkable authority responding
Power cuts every evening 4 to 5 hours residents suffering daily,Electricity,Negative,High,power cut every evening hour resident suffering daily
No electricity since yesterday evening urgent,Electricity,Negative,High,electricity since yesterday evening urgent
Wires hanging low near playground dangerous,Electricity,Negative,High,wire hanging low near playground dangerous
Large pothole on main road causing accidents residents suffering daily,Roads,Negative,Medium,large pothole main road causing accident resident suffering daily
Drain overflow flooding our street after rain residents suffering daily,Sanitation,Negative,High,drain overflow flooding street rain resident suffering daily
Sewage overflow outside house very unhygienic this has been ignored for weeks,Sanitation,Negative,High,sewage overflow outside house unhygienic ignored week
Traffic signals not working at busy junction residents suffering daily,Roads,Negative,Medium,traffic signal working busy junction resident suffering daily
Speeding bus nearly hit pedestrians near school residents suffering daily,Transport,Negative,Low,speeding bus nearly hit pedestrian near school resident suffering daily
Manholes open without covers dangerous at night,Sanitation,Negative,High,manhole open without cover dangerous night
High tension wire fallen on road dangerous please fix this soon,Electricity,Negative,Medium,high tension wire fallen road dangerous please fix soon
Dead animals near garbage dump not cleared authorities not responding,Sanitation,Negative,High,dead animal near garbage dump cleared authority responding
Driver using phone while driving dangerous please fix this soon,Transport,Negative,Medium,driver using phone driving dangerous please fix soon
Large pothole on main road causing accidents please fix this soon,Roads,Negative,Medium,large pothole main road causing accident please fix soon
No water since morning please help urgently residents suffering daily,Water Supply,Negative,High,water since morning please help urgently resident suffering daily
Large pothole on main road causing accidents urgent action needed,Roads,Negative,Critical,large pothole main road causing accident urgent action needed
Transformer burned whole street no power,Electricity,Negative,High,transformer burned whole street power
Speeding bus nearly hit pedestrians near school this has been ignored for weeks,Transport,Negative,High,speeding bus nearly hit pedestrian near school ignored week
Contaminated water supply causing illness,Water Supply,Negative,High,contaminated water supply causing illness
No water since morning please help urgently urgent action needed,Water Supply,Negative,Critical,water since morning please help urgently urgent action needed
No electricity since yesterday evening urgent urgent action needed,Electricity,Negative,Critical,electricity since yesterday evening urgent urgent action needed
Streetlights not working for a month,Electricity,Negative,High,streetlight working month
Road waterlogging every monsoon season problem residents suffering daily,Roads,Negative,Medium,road waterlogging every monsoon season problem resident suffering daily
Drain overflow flooding our street after rain urgent action needed,Sanitation,Negative,Critical,drain overflow flooding street rain urgent action needed
Water supply cut off for 3 days residents suffering daily,Water Supply,Negative,High,water supply cut day resident suffering daily
Buses not following schedule during peak hours please fix this soon,Transport,Negative,Medium,bus following schedule peak hour please fix soon
Streetlights not working for a month residents suffering daily,Electricity,Negative,High,streetlight working month resident suffering daily
No bus service to our area after 8pm please fix this soon,Transport,Negative,Medium,bus service area pm please fix soon
Auto drivers charging extra fare misbehaving authorities not responding,Transport,Negative,High,auto driver charging extra fare misbehaving authority responding
Bus never arrives on time daily problem residents suffering daily,Transport,Negative,Low,bus never arrives time daily problem resident suffering daily
Sparking from transformer near house fire risk this has been ignored for weeks,Electricity,Negative,High,sparking transformer near house fire risk ignored week
Potholes making ambulance trips very difficult please fix this soon,Roads,Negative,Medium,pothole making ambulance trip difficult please fix soon
Water meter reading wrong for 6 months please fix this soon,Water Supply,Negative,Medium,water meter reading wrong month please fix soon
No bus service to our area after 8pm authorities not responding,Transport,Negative,High,bus service area pm authority responding
Transformer burned whole street no power residents suffering daily,Electricity,Negative,High,transformer burned whole street power resident suffering daily
Water tanker not coming for 5 days authorities not responding,Water Supply,Negative,High,water tanker coming day authority responding
Road completely broken vehicles getting damaged authorities not responding,Roads,Negative,High,road completely broken vehicle getting damaged authority responding
Leaking water pipe on main road flooding authorities not responding,Water Supply,Negative,High,leaking water pipe main road flooding authority responding
Road completely broken vehicles getting damaged please fix this soon,Roads,Negative,Medium,road completely broken vehicle getting damaged please fix soon
Auto drivers charging extra fare misbehaving urgent action needed,Transport,Negative,Critical,auto driver charging extra fare misbehaving urgent action needed
Water supply cut off for 3 days,Water Supply,Negative,High,water supply cut day
Public toilet near market extremely dirty unusable residents suffering daily,Sanitation,Negative,High,public toilet near market extremely dirty unusable resident suffering daily
Potholes making ambulance trips very difficult,Roads,Negative,Medium,pothole making ambulance trip difficult
Tempo drivers harassing passengers extra money residents suffering daily,Transport,Negative,Low,tempo driver harassing passenger extra money resident suffering daily
Transformer burned whole street no power authorities not responding,Electricity,Negative,High,transformer burned whole street power authority responding
Mosquito breeding stagnant water disease risk please fix this soon,Sanitation,Negative,Medium,mosquito breeding stagnant water disease risk please fix soon
Wires hanging low near playground dangerous authorities not responding,Electricity,Negative,High,wire hanging low near playground dangerous authority responding
Sewage water mixing with drinking water critical authorities not responding,Sanitation,Negative,High,sewage water mixing drinking water critical authority responding
Garbage not collected for 2 weeks foul smell residents suffering daily,Sanitation,Negative,High,garbage collected week foul smell resident suffering daily
Water tanker not coming for 5 days this has been ignored for weeks,Water Supply,Negative,High,water tanker coming day ignored week
Water supply cut off for 3 days please fix this soon,Water Supply,Negative,Medium,water supply cut day please fix soon
Bridge near market has cracks urgent repair authorities not responding,Roads,Negative,High,bridge near market crack urgent repair authority responding
No electricity since yesterday evening urgent residents suffering daily,Electricity,Negative,High,electricity since yesterday evening urgent resident suffering daily
Driver using phone while driving dangerous residents suffering daily,Transport,Negative,Low,driver using phone driving dangerous resident suffering daily
Tempo drivers harassing passengers extra money authorities not responding,Transport,Negative,High,tempo driver harassing passenger extra money authority responding
Road cave in after rain near market area residents suffering daily,Roads,Negative,Medium,road cave rain near market area resident suffering daily
Bus overcrowded unsafe for passengers daily residents suffering daily,Transport,Negative,Low,bus overcrowded unsafe passenger daily resident suffering daily
Electric pole leaning dangerously on road please fix this soon,Electricity,Negative,Medium,electric pole leaning dangerously road please fix soon
Sewage water mixing with drinking water critical please fix this soon,Sanitation,Negative,Medium,sewage water mixing drinking water critical please fix soon
Traffic signals not working at busy junction please fix this soon,Roads,Negative,Medium,traffic signal working busy junction please fix soon
No power supply since 2 days in area,Electricity,Negative,High,power supply since day area
No bus service to our area after 8pm this has been ignored for weeks,Transport,Negative,High,bus service area pm ignored week
Divider broken near school dangerous children residents suffering daily,Roads,Negative,Medium,divider broken near school dangerous child resident suffering daily
No drinking water in our locality authorities not responding,Water Supply,Negative,High,drinking water locality authority responding
Water tanker not coming for 5 days residents suffering daily,Water Supply,Negative,High,water tanker coming day resident suffering daily
Buses not following schedule during peak hours residents suffering daily,Transport,Negative,Low,bus following schedule peak hour resident suffering daily
Tap water brown and smells bad undrinkable this has been ignored for weeks,Water Supply,Negative,High,tap water brown smell bad undrinkable ignored week
Road completely broken vehicles getting damaged,Roads,Negative,Medium,road completely broken vehicle getting damaged
Road completely broken vehicles getting damaged residents suffering daily,Roads,Negative,Medium,road completely broken vehicle getting damaged resident suffering daily
Sewage overflow outside house very unhygienic urgent action needed,Sanitation,Negative,Critical,sewage overflow outside house unhygienic urgent action needed
Garbage dump fire spreading smoke in area urgent action needed,Sanitation,Negative,Critical,garbage dump fire spreading smoke area urgent action needed
Sparking from transformer near house fire risk please fix this soon,Electricity,Negative,Medium,sparking transformer near house fire risk please fix soon
Sewage water mixing with drinking water critical residents suffering daily,Sanitation,Negative,High,sewage water mixing drinking water critical resident suffering daily
Garbage not collected for 2 weeks foul smell please fix this soon,Sanitation,Negative,Medium,garbage collected week foul smell please fix soon
No power supply since 2 days in area urgent action needed,Electricity,Negative,Critical,power supply since day area urgent action needed
Road dug for pipeline not restored for months this has been ignored for weeks,Roads,Negative,High,road dug pipeline restored month ignored week
Sewage overflow outside house very unhygienic please fix this soon,Sanitation,Negative,Medium,sewage overflow outside house unhygienic please fix soon
Dangerous pothole near hospital entrance repair this has been ignored for weeks,Roads,Negative,High,dangerous pothole near hospital entrance repair ignored week
Bridge near market has cracks urgent repair this has been ignored for weeks,Roads,Negative,High,bridge near market crack urgent repair ignored week
Driver using phone while driving dangerous urgent action needed,Transport,Negative,Critical,driver using phone driving dangerous urgent action needed
Contaminated water supply causing illness this has been ignored for weeks,Water Supply,Negative,High,contaminated water supply causing illness ignored week
Power cuts every evening 4 to 5 hours urgent action needed,Electricity,Negative,Critical,power cut every evening hour urgent action needed
No drinking water in our locality,Water Supply,Negative,High,drinking water locality
Electricity bill extremely high this month wrong authorities not responding,Electricity,Negative,High,electricity bill extremely high month wrong authority responding
Road cave in after rain near market area please fix this soon,Roads,Negative,Medium,road cave rain near market area please fix soon
Tempo drivers harassing passengers extra money,Transport,Negative,Low,tempo driver harassing passenger extra money
Road completely broken vehicles getting damaged urgent action needed,Roads,Negative,Critical,road completely broken vehicle getting damaged urgent action needed
Road cave in after rain near market area this has been ignored for weeks,Roads,Negative,High,road cave rain near market area ignored week
Sewage water mixing with drinking water critical urgent action needed,Sanitation,Negative,Critical,sewage water mixing drinking water critical urgent action needed
Sewage water mixing with drinking water critical this has been ignored for weeks,Sanitation,Negative,High,sewage water mixing drinking water critical ignored week
No public transport near hospital emergency,Transport,Negative,Low,public transport near hospital emergency
Road dug for pipeline not restored for months urgent action needed,Roads,Negative,Critical,road dug pipeline restored month urgent action needed
Overhead tank not filled regularly low pressure,Water Supply,Negative,High,overhead tank filled regularly low pressure
Bus stop has no shelter no bench urgent action needed,Transport,Negative,Critical,bus stop shelter bench urgent action needed
Speeding bus nearly hit pedestrians near school please fix this soon,Transport,Negative,Medium,speeding bus nearly hit pedestrian near school please fix soon
High tension wire fallen on road dangerous,Electricity,Negative,High,high tension wire fallen road dangerous
Streetlights not working for a month please fix this soon,Electricity,Negative,Medium,streetlight working month please fix soon
No water since morning please help urgently please fix this soon,Water Supply,Negative,Medium,water since morning please help urgently please fix soon
Auto drivers charging extra fare misbehaving please fix this soon,Transport,Negative,Medium,auto driver charging extra fare misbehaving please fix soon
Water pipeline burst near school flooding street please fix this soon,Water Supply,Negative,Medium,water pipeline burst near school flooding street please fix soon
Sewage water mixing with drinking water critical,Sanitation,Negative,High,sewage water mixing drinking water critical
Open drainage near school health hazard children residents suffering daily,Sanitation,Negative,High,open drainage near school health hazard child resident suffering daily
Streetlights not working for a month this has been ignored for weeks,Electricity,Negative,High,streetlight working month ignored week
Road waterlogging every monsoon season problem urgent action needed,Roads,Negative,Critical,road waterlogging every monsoon season problem urgent action needed
Overhead tank not filled regularly low pressure please fix this soon,Water Supply,Negative,Medium,overhead tank filled regularly low pressure please fix soon
Bus overcrowded unsafe for passengers daily please fix this soon,Transport,Negative,Medium,bus overcrowded unsafe passenger daily please fix soon
Driver using phone while driving dangerous this has been ignored for weeks,Transport,Negative,High,driver using phone driving dangerous ignored week
Road cave in after rain near market area urgent action needed,Roads,Negative,Critical,road cave rain near market area urgent action needed
Power cuts every evening 4 to 5 hours authorities not responding,Electricity,Negative,High,power cut every evening hour authority responding
Bus never arrives on time daily problem,Transport,Negative,Low,bus never arrives time daily problem
Electricity bill extremely high this month wrong residents suffering daily,Electricity,Negative,High,electricity bill extremely high month wrong resident suffering daily
Public toilet near market extremely dirty unusable,Sanitation,Negative,High,public toilet near market extremely dirty unusable
No electricity since yesterday evening urgent please fix this soon,Electricity,Negative,Medium,electricity since yesterday evening urgent please fix soon
Sewage overflow outside house very unhygienic,Sanitation,Negative,High,sewage overflow outside house unhygienic
Dangerous pothole near hospital entrance repair residents suffering daily,Roads,Negative,Medium,dangerous pothole near hospital entrance repair resident suffering daily
Leaking water pipe on main road flooding urgent action needed,Water Supply,Negative,Critical,leaking water pipe main road flooding urgent action needed
Public toilet near market extremely dirty unusable authorities not responding,Sanitation,Negative,High,public toilet near market extremely dirty unusable authority responding
Traffic signals not working at busy junction this has been ignored for weeks,Roads,Negative,High,traffic signal working busy junction ignored week
Tap water brown and smells bad undrinkable,Water Supply,Negative,High,tap water brown smell bad undrinkable
Road cave in after rain near market area authorities not responding,Roads,Negative,High,road cave rain near market area authority responding
Bus overcrowded unsafe for passengers daily authorities not responding,Transport,Negative,High,bus overcrowded unsafe passenger daily authority responding
Road waterlogging every monsoon season problem this has been ignored for weeks,Roads,Negative,High,road waterlogging every monsoon season problem ignored week
Power cuts every evening 4 to 5 hours please fix this soon,Electricity,Negative,Medium,power cut every evening hour please fix soon
Potholes making ambulance trips very difficult authorities not responding,Roads,Negative,High,pothole making ambulance trip difficult authority responding
Water meter reading wrong for 6 months this has been ignored for weeks,Water Supply,Negative,High,water meter reading wrong month ignored week
Sparking from transformer near house fire risk,Electricity,Negative,High,sparking transformer near house fire risk
Sparking from transformer near house fire risk residents suffering daily,Electricity,Negative,High,sparking transformer near house fire risk resident suffering daily
No drinking water in our locality this has been ignored for weeks,Water Supply,Negative,High,drinking water locality ignored week
Sparking from transformer near house fire risk authorities not responding,Electricity,Negative,High,sparking transformer near house fire risk authority responding
Garbage dump fire spreading smoke in area authorities not responding,Sanitation,Negative,High,garbage dump fire spreading smoke area authority responding
Road cave in after rain near market area,Roads,Negative,Medium,road cave rain near market area
Electricity bill extremely high this month wrong please fix this soon,Electricity,Negative,Medium,electricity bill extremely high month wrong please fix soon
Buses not following schedule during peak hours,Transport,Negative,Low,bus following schedule peak hour
Electric pole leaning dangerously on road urgent action needed,Electricity,Negative,Critical,electric pole leaning dangerously road urgent action needed
Water tanker not coming for 5 days urgent action needed,Water Supply,Negative,Critical,water tanker coming day urgent action needed
Dead animals near garbage dump not cleared this has been ignored for weeks,Sanitation,Negative,High,dead animal near garbage dump cleared ignored week
Overhead tank not filled regularly low pressure this has been ignored for weeks,Water Supply,Negative,High,overhead tank filled regularly low pressure ignored week
Dead animals near garbage dump not cleared please fix this soon,Sanitation,Negative,Medium,dead animal near garbage dump cleared please fix soon
Tap water brown and smells bad undrinkable please fix this soon,Water Supply,Negative,Medium,tap water brown smell bad undrinkable please fix soon
Transformer burned whole street no power please fix this soon,Electricity,Negative,Medium,transformer burned whole street power please fix soon
Open drainage near school health hazard children this has been ignored for weeks,Sanitation,Negative,High,open drainage near school health hazard child ignored week
Overhead tank not filled regularly low pressure residents suffering daily,Water Supply,Negative,High,overhead tank filled regularly low pressure resident suffering daily
Potholes making ambulance trips very difficult urgent action needed,Roads,Negative,Critical,pothole making ambulance trip difficult urgent action needed
No water since morning please help urgently this has been ignored for weeks,Water Supply,Negative,High,water since morning please help urgently ignored week
Water pipeline burst near school flooding street this has been ignored for weeks,Water Supply,Negative,High,water pipeline burst near school flooding street ignored week
Garbage not collected for 2 weeks foul smell,Sanitation,Negative,High,garbage collected week foul smell
No public transport near hospital emergency urgent action needed,Transport,Negative,Critical,public transport near hospital emergency urgent action needed
Road dug for pipeline not restored for months authorities not responding,Roads,Negative,High,road dug pipeline restored month authority responding
Garbage not collected for 2 weeks foul smell this has been ignored for weeks,Sanitation,Negative,High,garbage collected week foul smell ignored week
Traffic signals not working at busy junction,Roads,Negative,Medium,traffic signal working busy junction
No drinking water in our locality residents suffering daily,Water Supply,Negative,High,drinking water locality resident suffering daily
Open drainage near school health hazard children urgent action needed,Sanitation,Negative,Critical,open drainage near school health hazard child urgent action needed
No electricity since yesterday evening urgent authorities not responding,Electricity,Negative,High,electricity since yesterday evening urgent authority responding
Public toilet near market extremely dirty unusable urgent action needed,Sanitation,Negative,Critical,public toilet near market extremely dirty unusable urgent action needed
Tap water brown and smells bad undrinkable residents suffering daily,Water Supply,Negative,High,tap water brown smell bad undrinkable resident suffering daily
Dangerous pothole near hospital entrance repair authorities not responding,Roads,Negative,High,dangerous pothole near hospital entrance repair authority responding
Road waterlogging every monsoon season problem please fix this soon,Roads,Negative,Medium,road waterlogging every monsoon season problem please fix soon
Garbage not collected for 2 weeks foul smell authorities not responding,Sanitation,Negative,High,garbage collected week foul smell authority responding
Water meter reading wrong for 6 months urgent action needed,Water Supply,Negative,Critical,water meter reading wrong month urgent action needed
Open drainage near school health hazard children please fix this soon,Sanitation,Negative,Medium,open drainage near school health hazard child please fix soon
Tempo drivers harassing passengers extra money this has been ignored for weeks,Transport,Negative,High,tempo driver harassing passenger extra money ignored week
Bus stop has no shelter no bench this has been ignored for weeks,Transport,Negative,High,bus stop shelter bench ignored week
Potholes making ambulance trips very difficult residents suffering daily,Roads,Negative,Medium,pothole making ambulance trip difficult resident suffering daily
No power supply since 2 days in area please fix this soon,Electricity,Negative,Medium,power supply since day area please fix soon
Streetlights not working for a month urgent action needed,Electricity,Negative,Critical,streetlight working month urgent action needed
Speeding bus nearly hit pedestrians near school urgent action needed,Transport,Negative,Critical,speeding bus nearly hit pedestrian near school urgent action needed
Road waterlogging every monsoon season problem,Roads,Negative,Medium,road waterlogging every monsoon season problem
Bus stop has no shelter no bench please fix this soon,Transport,Negative,Medium,bus stop shelter bench please fix soon
Streetlights not working for a month authorities not responding,Electricity,Negative,High,streetlight working month authority responding
Water supply cut off for 3 days authorities not responding,Water Supply,Negative,High,water supply cut day authority responding
Bridge near market has cracks urgent repair residents suffering daily,Roads,Negative,Medium,bridge near market crack urgent repair resident suffering daily
Mosquito breeding stagnant water disease risk urgent action needed,Sanitation,Negative,Critical,mosquito breeding stagnant water disease risk urgent action needed
No power supply since 2 days in area residents suffering daily,Electricity,Negative,High,power supply since day area resident suffering daily
Garbage dump fire spreading smoke in area residents suffering daily,Sanitation,Negative,High,garbage dump fire spreading smoke area resident suffering daily
Bus stop has no shelter no bench residents suffering daily,Transport,Negative,Low,bus stop shelter bench resident suffering daily
