complaint,department,sentiment,urgency
Tempo drivers harassing passengers extra money urgent action needed,Transport,Negative,Critical
Large pothole on main road causing accidents authorities not responding,Roads,Negative,High
Sewage overflow outside house very unhygienic residents suffering daily,Sanitation,Negative,High
Contaminated water supply causing illness residents suffering daily,Water Supply,Negative,High
Mosquito breeding stagnant water disease risk authorities not responding,Sanitation,Negative,High
Garbage not collected for 2 weeks foul smell urgent action needed,Sanitation,Negative,Critical
No bus service to our area after 8pm,Transport,Negative,Low
High tension wire fallen on road dangerous this has been ignored for weeks,Electricity,Negative,High
Electricity bill extremely high this month wrong urgent action needed,Electricity,Negative,Critical
Water meter reading wrong for 6 months,Water Supply,Negative,High
No bus service to our area after 8pm urgent action needed,Transport,Negative,Critical
Bus never arrives on time daily problem please fix this soon,Transport,Negative,Medium
Speeding bus nearly hit pedestrians near school,Transport,Negative,Low
Transformer burned whole street no power urgent action needed,Electricity,Negative,Critical
No public transport near hospital emergency residents suffering daily,Transport,Negative,Low
Electric pole leaning dangerously on road residents suffering daily,Electricity,Negative,High
Driver using phone while driving dangerous authorities not responding,Transport,Negative,High
Divider broken near school dangerous children authorities not responding,Roads,Negative,High
Manholes open without covers dangerous at night residents suffering daily,Sanitation,Negative,High
Overhead tank not filled regularly low pressure urgent action needed,Water Supply,Negative,Critical
No water since morning please help urgently,Water Supply,Negative,High
No public transport near hospital emergency this has been ignored for weeks,Transport,Negative,High
Water tanker not coming for 5 days please fix this soon,Water Supply,Negative,Medium
Mosquito breeding stagnant water disease risk this has been ignored for weeks,Sanitation,Negative,High
No power supply since 2 days in area this has been ignored for weeks,Electricity,Negative,High
Bridge near market has cracks urgent repair urgent action needed,Roads,Negative,Critical
Traffic signals not working at busy junction authorities not responding,Roads,Negative,High
High tension wire fallen on road dangerous authorities not responding,Electricity,Negative,High
Tempo drivers harassing passengers extra money please fix this soon,Transport,Negative,Medium
Sewage overflow outside house very unhygienic authorities not responding,Sanitation,Negative,High
Mosquito breeding stagnant water disease risk residents suffering daily,Sanitation,Negative,High
Bus never arrives on time daily problem authorities not responding,Transport,Negative,High
Leaking water pipe on main road flooding residents suffering daily,Water Supply,Negative,High
No bus service to our area after 8pm residents suffering daily,Transport,Negative,Low
Mosquito breeding stagnant water disease risk,Sanitation,Negative,High
Dead animals near garbage dump not cleared urgent action needed,Sanitation,Negative,Critical
Public toilet near market extremely dirty unusable please fix this soon,Sanitation,Negative,Medium
Dangerous pothole near hospital entrance repair,Roads,Negative,Medium
No electricity since yesterday evening urgent this has been ignored for weeks,Electricity,Negative,High
Manholes open without covers dangerous at night authorities not responding,Sanitation,Negative,High
Leaking water pipe on main road flooding,Water Supply,Negative,High
Road completely broken vehicles getting damaged this has been ignored for weeks,Roads,Negative,High
Bus overcrowded unsafe for passengers daily,Transport,Negative,Low
Bus overcrowded unsafe for passengers daily urgent action needed,Transport,Negative,Critical
Drain overflow flooding our street after rain this has been ignored for weeks,Sanitation,Negative,High
No water since morning please help urgently authorities not responding,Water Supply,Negative,High
Dangerous pothole near hospital entrance repair please fix this soon,Roads,Negative,Medium
Electric pole leaning dangerously on road authorities not responding,Electricity,Negative,High
Bus overcrowded unsafe for passengers daily this has been ignored for weeks,Transport,Negative,High
Divider broken near school dangerous children,Roads,Negative,Medium
No public transport near hospital emergency please fix this soon,Transport,Negative,Medium
Traffic signals not working at busy junction urgent action needed,Roads,Negative,Critical
Divider broken near school dangerous children urgent action needed,Roads,Negative,Critical
Drain overflow flooding our street after rain,Sanitation,Negative,High
Road dug for pipeline not restored for months residents suffering daily,Roads,Negative,Medium
Garbage dump fire spreading smoke in area,Sanitation,Negative,High
Contaminated water supply causing illness urgent action needed,Water Supply,Negative,Critical
Bus stop has no shelter no bench,Transport,Negative,Low
Buses not following schedule during peak hours this has been ignored for weeks,Transport,Negative,High
Power cuts every evening 4 to 5 hours,Electricity,Negative,High
Road waterlogging every monsoon season problem authorities not responding,Roads,Negative,High
No public transport near hospital emergency authorities not responding,Transport,Negative,High
Manholes open without covers dangerous at night this has been ignored for weeks,Sanitation,Negative,High
Wires hanging low near playground dangerous urgent action needed,Electricity,Negative,Critical
Water meter reading wrong for 6 months authorities not responding,Water Supply,Negative,High
Bridge near market has cracks urgent repair,Roads,Negative,Medium
Sparking from transformer near house fire risk urgent action needed,Electricity,Negative,Critical
Bus never arrives on time daily problem urgent action needed,Transport,Negative,Critical
Wires hanging low near playground dangerous residents suffering daily,Electricity,Negative,High
Divider broken near school dangerous children this has been ignored for weeks,Roads,Negative,High
Electric pole leaning dangerously on road,Electricity,Negative,High
Garbage dump fire spreading smoke in area this has been ignored for weeks,Sanitation,Negative,High
Garbage dump fire spreading smoke in area please fix this soon,Sanitation,Negative,Medium
Open drainage near school health hazard children authorities not responding,Sanitation,Negative,High
Transformer burned whole street no power this has been ignored for weeks,Electricity,Negative,High
Road dug for pipeline not restored for months please fix this soon,Roads,Negative,Medium
Contaminated water supply causing illness authorities not responding,Water Supply,Negative,High
Tap water brown and smells bad undrinkable authorities not responding,Water Supply,Negative,High
Power cuts every evening 4 to 5 hours residents suffering daily,Electricity,Negative,High
No electricity since yesterday evening urgent,Electricity,Negative,High
Wires hanging low near playground dangerous,Electricity,Negative,High
Large pothole on main road causing accidents residents suffering daily,Roads,Negative,Medium
Drain overflow flooding our street after rain residents suffering daily,Sanitation,Negative,High
Sewage overflow outside house very unhygienic this has been ignored for weeks,Sanitation,Negative,High
Traffic signals not working at busy junction residents suffering daily,Roads,Negative,Medium
Speeding bus nearly hit pedestrians near school residents suffering daily,Transport,Negative,Low
Manholes open without covers dangerous at night,Sanitation,Negative,High
High tension wire fallen on road dangerous please fix this soon,Electricity,Negative,Medium
Dead animals near garbage dump not cleared authorities not responding,Sanitation,Negative,High
Driver using phone while driving dangerous please fix this soon,Transport,Negative,Medium
Large pothole on main road causing accidents please fix this soon,Roads,Negative,Medium
No water since morning please help urgently residents suffering daily,Water Supply,Negative,High
Large pothole on main road causing accidents urgent action needed,Roads,Negative,Critical
Transformer burned whole street no power,Electricity,Negative,High
Speeding bus nearly hit pedestrians near school this has been ignored for weeks,Transport,Negative,High
Contaminated water supply causing illness,Water Supply,Negative,High
No water since morning please help urgently urgent action needed,Water Supply,Negative,Critical
No electricity since yesterday evening urgent urgent action needed,Electricity,Negative,Critical
Streetlights not working for a month,Electricity,Negative,High
Road waterlogging every monsoon season problem residents suffering daily,Roads,Negative,Medium
Drain overflow flooding our street after rain urgent action needed,Sanitation,Negative,Critical
Water supply cut off for 3 days residents suffering daily,Water Supply,Negative,High
Buses not following schedule during peak hours please fix this soon,Transport,Negative,Medium
Streetlights not working for a month residents suffering daily,Electricity,Negative,High
No bus service to our area after 8pm please fix this soon,Transport,Negative,Medium
Auto drivers charging extra fare misbehaving authorities not responding,Transport,Negative,High
Bus never arrives on time daily problem residents suffering daily,Transport,Negative,Low
Sparking from transformer near house fire risk this has been ignored for weeks,Electricity,Negative,High
Potholes making ambulance trips very difficult please fix this soon,Roads,Negative,Medium
Water meter reading wrong for 6 months please fix this soon,Water Supply,Negative,Medium
No bus service to our area after 8pm authorities not responding,Transport,Negative,High
Transformer burned whole street no power residents suffering daily,Electricity,Negative,High
Water tanker not coming for 5 days authorities not responding,Water Supply,Negative,High
Road completely broken vehicles getting damaged authorities not responding,Roads,Negative,High
Leaking water pipe on main road flooding authorities not responding,Water Supply,Negative,High
Road completely broken vehicles getting damaged please fix this soon,Roads,Negative,Medium
Auto drivers charging extra fare misbehaving urgent action needed,Transport,Negative,Critical
Water supply cut off for 3 days,Water Supply,Negative,High
Public toilet near market extremely dirty unusable residents suffering daily,Sanitation,Negative,High
Potholes making ambulance trips very difficult,Roads,Negative,Medium
Tempo drivers harassing passengers extra money residents suffering daily,Transport,Negative,Low
Transformer burned whole street no power authorities not responding,Electricity,Negative,High
Mosquito breeding stagnant water disease risk please fix this soon,Sanitation,Negative,Medium
Wires hanging low near playground dangerous authorities not responding,Electricity,Negative,High
Sewage water mixing with drinking water critical authorities not responding,Sanitation,Negative,High
Garbage not collected for 2 weeks foul smell residents suffering daily,Sanitation,Negative,High
Water tanker not coming for 5 days this has been ignored for weeks,Water Supply,Negative,High
Water supply cut off for 3 days please fix this soon,Water Supply,Negative,Medium
Bridge near market has cracks urgent repair authorities not responding,Roads,Negative,High
No electricity since yesterday evening urgent residents suffering daily,Electricity,Negative,High
Driver using phone while driving dangerous residents suffering daily,Transport,Negative,Low
Tempo drivers harassing passengers extra money authorities not responding,Transport,Negative,High
Road cave in after rain near market area residents suffering daily,Roads,Negative,Medium
Bus overcrowded unsafe for passengers daily residents suffering daily,Transport,Negative,Low
Electric pole leaning dangerously on road please fix this soon,Electricity,Negative,Medium
Sewage water mixing with drinking water critical please fix this soon,Sanitation,Negative,Medium
Traffic signals not working at busy junction please fix this soon,Roads,Negative,Medium
No power supply since 2 days in area,Electricity,Negative,High
No bus service to our area after 8pm this has been ignored for weeks,Transport,Negative,High
Divider broken near school dangerous children residents suffering daily,Roads,Negative,Medium
No drinking water in our locality authorities not responding,Water Supply,Negative,High
Water tanker not coming for 5 days residents suffering daily,Water Supply,Negative,High
Buses not following schedule during peak hours residents suffering daily,Transport,Negative,Low
Tap water brown and smells bad undrinkable this has been ignored for weeks,Water Supply,Negative,High
Road completely broken vehicles getting damaged,Roads,Negative,Medium
Road completely broken vehicles getting damaged residents suffering daily,Roads,Negative,Medium
Sewage overflow outside house very unhygienic urgent action needed,Sanitation,Negative,Critical
Garbage dump fire spreading smoke in area urgent action needed,Sanitation,Negative,Critical
Sparking from transformer near house fire risk please fix this soon,Electricity,Negative,Medium
Sewage water mixing with drinking water critical residents suffering daily,Sanitation,Negative,High
Garbage not collected for 2 weeks foul smell please fix this soon,Sanitation,Negative,Medium
No power supply since 2 days in area urgent action needed,Electricity,Negative,Critical
Road dug for pipeline not restored for months this has been ignored for weeks,Roads,Negative,High
Sewage overflow outside house very unhygienic please fix this soon,Sanitation,Negative,Medium
Dangerous pothole near hospital entrance repair this has been ignored for weeks,Roads,Negative,High
Bridge near market has cracks urgent repair this has been ignored for weeks,Roads,Negative,High
Driver using phone while driving dangerous urgent action needed,Transport,Negative,Critical
Contaminated water supply causing illness this has been ignored for weeks,Water Supply,Negative,High
Power cuts every evening 4 to 5 hours urgent action needed,Electricity,Negative,Critical
No drinking water in our locality,Water Supply,Negative,High
Electricity bill extremely high this month wrong authorities not responding,Electricity,Negative,High
Road cave in after rain near market area please fix this soon,Roads,Negative,Medium
Tempo drivers harassing passengers extra money,Transport,Negative,Low
Road completely broken vehicles getting damaged urgent action needed,Roads,Negative,Critical
Road cave in after rain near market area this has been ignored for weeks,Roads,Negative,High
Sewage water mixing with drinking water critical urgent action needed,Sanitation,Negative,Critical
Sewage water mixing with drinking water critical this has been ignored for weeks,Sanitation,Negative,High
No public transport near hospital emergency,Transport,Negative,Low
Road dug for pipeline not restored for months urgent action needed,Roads,Negative,Critical
Overhead tank not filled regularly low pressure,Water Supply,Negative,High
Bus stop has no shelter no bench urgent action needed,Transport,Negative,Critical
Speeding bus nearly hit pedestrians near school please fix this soon,Transport,Negative,Medium
High tension wire fallen on road dangerous,Electricity,Negative,High
Streetlights not working for a month please fix this soon,Electricity,Negative,Medium
No water since morning please help urgently please fix this soon,Water Supply,Negative,Medium
Auto drivers charging extra fare misbehaving please fix this soon,Transport,Negative,Medium
Water pipeline burst near school flooding street please fix this soon,Water Supply,Negative,Medium
Sewage water mixing with drinking water critical,Sanitation,Negative,High
Open drainage near school health hazard children residents suffering daily,Sanitation,Negative,High
Streetlights not working for a month this has been ignored for weeks,Electricity,Negative,High
Road waterlogging every monsoon season problem urgent action needed,Roads,Negative,Critical
Overhead tank not filled regularly low pressure please fix this soon,Water Supply,Negative,Medium
Bus overcrowded unsafe for passengers daily please fix this soon,Transport,Negative,Medium
Driver using phone while driving dangerous this has been ignored for weeks,Transport,Negative,High
Road cave in after rain near market area urgent action needed,Roads,Negative,Critical
Power cuts every evening 4 to 5 hours authorities not responding,Electricity,Negative,High
Bus never arrives on time daily problem,Transport,Negative,Low
Electricity bill extremely high this month wrong residents suffering daily,Electricity,Negative,High
Public toilet near market extremely dirty unusable,Sanitation,Negative,High
No electricity since yesterday evening urgent please fix this soon,Electricity,Negative,Medium
Sewage overflow outside house very unhygienic,Sanitation,Negative,High
Dangerous pothole near hospital entrance repair residents suffering daily,Roads,Negative,Medium
Leaking water pipe on main road flooding urgent action needed,Water Supply,Negative,Critical
Public toilet near market extremely dirty unusable authorities not responding,Sanitation,Negative,High
Traffic signals not working at busy junction this has been ignored for weeks,Roads,Negative,High
Tap water brown and smells bad undrinkable,Water Supply,Negative,High
Road cave in after rain near market area authorities not responding,Roads,Negative,High
Bus overcrowded unsafe for passengers daily authorities not responding,Transport,Negative,High
Road waterlogging every monsoon season problem this has been ignored for weeks,Roads,Negative,High
Power cuts every evening 4 to 5 hours please fix this soon,Electricity,Negative,Medium
Potholes making ambulance trips very difficult authorities not responding,Roads,Negative,High
Water meter reading wrong for 6 months this has been ignored for weeks,Water Supply,Negative,High
Sparking from transformer near house fire risk,Electricity,Negative,High
Sparking from transformer near house fire risk residents suffering daily,Electricity,Negative,High
No drinking water in our locality this has been ignored for weeks,Water Supply,Negative,High
Sparking from transformer near house fire risk authorities not responding,Electricity,Negative,High
Garbage dump fire spreading smoke in area authorities not responding,Sanitation,Negative,High
Road cave in after rain near market area,Roads,Negative,Medium
Electricity bill extremely high this month wrong please fix this soon,Electricity,Negative,Medium
Buses not following schedule during peak hours,Transport,Negative,Low
Electric pole leaning dangerously on road urgent action needed,Electricity,Negative,Critical
Water tanker not coming for 5 days urgent action needed,Water Supply,Negative,Critical
Dead animals near garbage dump not cleared this has been ignored for weeks,Sanitation,Negative,High
Overhead tank not filled regularly low pressure this has been ignored for weeks,Water Supply,Negative,High
Dead animals near garbage dump not cleared please fix this soon,Sanitation,Negative,Medium
Tap water brown and smells bad undrinkable please fix this soon,Water Supply,Negative,Medium
Transformer burned whole street no power please fix this soon,Electricity,Negative,Medium
Open drainage near school health hazard children this has been ignored for weeks,Sanitation,Negative,High
Overhead tank not filled regularly low pressure residents suffering daily,Water Supply,Negative,High
Potholes making ambulance trips very difficult urgent action needed,Roads,Negative,Critical
No water since morning please help urgently this has been ignored for weeks,Water Supply,Negative,High
Water pipeline burst near school flooding street this has been ignored for weeks,Water Supply,Negative,High
Garbage not collected for 2 weeks foul smell,Sanitation,Negative,High
No public transport near hospital emergency urgent action needed,Transport,Negative,Critical
Road dug for pipeline not restored for months authorities not responding,Roads,Negative,High
Garbage not collected for 2 weeks foul smell this has been ignored for weeks,Sanitation,Negative,High
Traffic signals not working at busy junction,Roads,Negative,Medium
No drinking water in our locality residents suffering daily,Water Supply,Negative,High
Open drainage near school health hazard children urgent action needed,Sanitation,Negative,Critical
No electricity since yesterday evening urgent authorities not responding,Electricity,Negative,High
Public toilet near market extremely dirty unusable urgent action needed,Sanitation,Negative,Critical
Tap water brown and smells bad undrinkable residents suffering daily,Water Supply,Negative,High
Dangerous pothole near hospital entrance repair authorities not responding,Roads,Negative,High
Road waterlogging every monsoon season problem please fix this soon,Roads,Negative,Medium
Garbage not collected for 2 weeks foul smell authorities not responding,Sanitation,Negative,High
Water meter reading wrong for 6 months urgent action needed,Water Supply,Negative,Critical
Open drainage near school health hazard children please fix this soon,Sanitation,Negative,Medium
Tempo drivers harassing passengers extra money this has been ignored for weeks,Transport,Negative,High
Bus stop has no shelter no bench this has been ignored for weeks,Transport,Negative,High
Potholes making ambulance trips very difficult residents suffering daily,Roads,Negative,Medium
No power supply since 2 days in area please fix this soon,Electricity,Negative,Medium
Streetlights not working for a month urgent action needed,Electricity,Negative,Critical
Speeding bus nearly hit pedestrians near school urgent action needed,Transport,Negative,Critical
Road waterlogging every monsoon season problem,Roads,Negative,Medium
Bus stop has no shelter no bench please fix this soon,Transport,Negative,Medium
Streetlights not working for a month authorities not responding,Electricity,Negative,High
Water supply cut off for 3 days authorities not responding,Water Supply,Negative,High
Bridge near market has cracks urgent repair residents suffering daily,Roads,Negative,Medium
Mosquito breeding stagnant water disease risk urgent action needed,Sanitation,Negative,Critical
No power supply since 2 days in area residents suffering daily,Electricity,Negative,High
Garbage dump fire spreading smoke in area residents suffering daily,Sanitation,Negative,High
Bus stop has no shelter no bench residents suffering daily,Transport,Negative,Low
Electric pole leaning dangerously on road this has been ignored for weeks,Electricity,Negative,High
Water pipeline burst near school flooding street urgent action needed,Water Supply,Negative,Critical
Driver using phone while driving dangerous,Transport,Negative,Low
Electricity bill extremely high this month wrong this has been ignored for weeks,Electricity,Negative,High
No power supply since 2 days in area authorities not responding,Electricity,Negative,High
Leaking water pipe on main road flooding this has been ignored for weeks,Water Supply,Negative,High
Water pipeline burst near school flooding street authorities not responding,Water Supply,Negative,High
Water pipeline burst near school flooding street residents suffering daily,Water Supply,Negative,High
Dead animals near garbage dump not cleared,Sanitation,Negative,High
Leaking water pipe on main road flooding please fix this soon,Water Supply,Negative,Medium
Speeding bus nearly hit pedestrians near school authorities not responding,Transport,Negative,High
Water meter reading wrong for 6 months residents suffering daily,Water Supply,Negative,High
Power cuts every evening 4 to 5 hours this has been ignored for weeks,Electricity,Negative,High
Electricity bill extremely high this month wrong,Electricity,Negative,High
Large pothole on main road causing accidents this has been ignored for weeks,Roads,Negative,High
Bridge near market has cracks urgent repair please fix this soon,Roads,Negative,Medium
Water pipeline burst near school flooding street,Water Supply,Negative,High
Overhead tank not filled regularly low pressure authorities not responding,Water Supply,Negative,High
